,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income
0,94507000000.0,0.1115,0.0,94507000000.0,0.0,64822000000.0,75498000000.0,19009000000.0,3542000000.0,15111000000.0,3380000000.0,131000000.0,0.0,11731000000.0,0.0,11731000000.0,2.56,2.53,4549504769.0,4549504769.0,0.917,1.0,0.31,0.1974,0.124,0.1268,29329000000.0,18653000000.0,11862000000.0
1,14144000000.0,0.032,7288000000.0,6856000000.0,0.0,601000000.0,3062000000.0,3794000000.0,1917000000.0,2196000000.0,587000000.0,310000000.0,0.0,1609000000.0,128000000.0,1481000000.0,0.66,0.66,2207018287.0,2216000000.0,0.725,0.4847,0.4529999999999999,0.2908,0.105,0.1498,6410000000.0,4113000000.0,1919000000.0
2,70848000000.0,0.1289,27111000000.0,43737000000.0,13543000000.0,6750000000.0,20421000000.0,23316000000.0,-126000000.0,23317000000.0,2264000000.0,0.0,0.0,21053000000.0,0.0,21053000000.0,4.57,4.48,4564000000.0,4611000000.0,1.2,0.6173,0.456,0.3273,0.297,0.2011,32276000000.0,23191000000.0,21053000000.0
3,30391000000.0,0.4955,12500000000.0,17891000000.0,2141000000.0,813000000.0,2897000000.0,14994000000.0,342000000.0,14303000000.0,168000000.0,3000000.0,0.0,14135000000.0,0.0,14135000000.0,12.27,11.51,1159810627.0,1152000000.0,0.0,0.5887,0.638,0.4819,0.465,0.2804,19404000000.0,14645000000.0,14138000000.0
4,121615000000.0,0.0285,95461000000.0,26154000000.0,0.0,18111000000.0,40711000000.0,-14557000000.0,5059000000.0,-21772000000.0,583000000.0,-178000000.0,1726000000.0,-22355000000.0,894000000.0,-22802000000.0,-2.62,-2.62,8698115000.0,8698115000.0,0.37,0.2151,-0.07,-0.1374,-0.187,0.0058,-8489000000.0,-16713000000.0,-22443000000.0
5,91247000000.0,0.0446,0.0,91247000000.0,0.0,53381000000.0,53381000000.0,37866000000.0,0.0,34584000000.0,6437000000.0,0.0,0.0,28147000000.0,1451000000.0,26696000000.0,2.64,2.61,9814196864.0,10096500000.0,0.54,1.0,0.402,0.379,0.293,0.4331,36647000000.0,34584000000.0,28147000000.0
6,265595000000.0,0.1586,163756000000.0,101839000000.0,14236000000.0,16705000000.0,30941000000.0,70898000000.0,0.0,72903000000.0,13372000000.0,0.0,0.0,59531000000.0,0.0,59531000000.0,12.01,11.91,4829926000.0,4955377000.0,2.72,0.3834,0.316,0.2745,0.2239999999999999,0.2414,83806000000.0,72903000000.0,59531000000.0
7,110360000000.0,0.1428,38353000000.0,72007000000.0,14726000000.0,22223000000.0,36949000000.0,35058000000.0,0.0,36474000000.0,19903000000.0,0.0,0.0,16571000000.0,0.0,16571000000.0,2.15,2.13,7683197503.0,7700000000.0,1.65,0.6525,0.423,0.3305,0.15,0.2922,46735000000.0,36474000000.0,16571000000.0
8,5770692000.0,0.0637,2308606000.0,3462086000.0,123219000.0,1311199000.0,1735138000.0,1726948000.0,350073000.0,1420574000.0,244681000.0,0.0,0.0,1175893000.0,0.0,1175893000.0,0.26,0.26,4441648517.0,4461827000.0,0.045,0.5999,0.359,0.3068,0.204,0.2642,2071367000.0,1770647000.0,1175893000.0
9,58472000000.0,0.1233,47803000000.0,10669000000.0,1404000000.0,4859000000.0,6605000000.0,4064000000.0,1051000000.0,3013000000.0,-2314000000.0,0.0,0.0,5327000000.0,0.0,5327000000.0,3.3,3.26,1582408508.0,1615000000.0,0.557,0.1825,0.079,0.0695,0.091,0.071,4592000000.0,4064000000.0,5327000000.0
10,14125255102.0408,0.0793,9334948979.5918,4790306122.449,0.0,3096632653.0612,3394438775.5102,1395867346.9388,642704081.6327,761938775.5102,227908163.2653,40255102.0408,-10816326.5306,534030612.2449,0.0,534030612.2449,0.1122,0.1122,2312331881.0204,2312331881.0204,0.0,0.3391,0.008,0.0994,0.0019,0.0539,2224540816.3265,1404642857.1429,574285714.2857
11,8391000000.0,0.7237,4181000000.0,4210000000.0,0.0,2093000000.0,3471000000.0,739000000.0,1346000000.0,182000000.0,-121000000.0,1000000.0,0.0,303000000.0,0.0,303000000.0,0.44,0.41,669733000.0,686000000.0,0.0,0.5017,0.319,0.1821,0.036,0.0263,2673000000.0,1528000000.0,304000000.0
12,160338000000.0,0.0227,145732000000.0,14606000000.0,0.0,11403000000.0,11403000000.0,3203000000.0,1228000000.0,4327000000.0,650000000.0,18000000.0,0.0,3677000000.0,0.0,3677000000.0,0.93,0.92,3977903385.0,3977903385.0,0.6,0.0911,0.086,0.0346,0.023,0.0451,13863000000.0,5555000000.0,3695000000.0
13,6475000000.0,0.2326,4028000000.0,2447000000.0,1434000000.0,562000000.0,1996000000.0,451000000.0,121000000.0,328000000.0,-9000000.0,0.0,0.0,337000000.0,0.0,337000000.0,0.34,0.32,999407216.0,982000000.0,0.0,0.3779,0.096,0.0693,0.052,-0.0199,619000000.0,449000000.0,337000000.0
14,1180446000.0,0.4309,798865000.0,381581000.0,772185000.0,877846000.0,1650031000.0,-1268450000.0,3894000.0,-1253364000.0,2547000.0,0.0,0.0,-1255911000.0,0.0,-1255911000.0,-0.97,-0.97,1294919016.0,1300568000.0,0.0,0.3233,-0.981,-1.0585,-1.064,-0.6768,-1157822000.0,-1249470000.0,-1255911000.0
15,55838000000.0,0.3735,9355000000.0,46483000000.0,10273000000.0,11297000000.0,21570000000.0,24913000000.0,0.0,25361000000.0,3249000000.0,0.0,0.0,22112000000.0,1000000.0,22111000000.0,7.65,7.57,2873787612.0,2890000000.0,0.0,0.8325,0.531,0.4542,0.396,0.2751,29676000000.0,25361000000.0,22112000000.0
16,84664000000.0,-0.0139,0.0,84664000000.0,0.0,38356000000.0,56126000000.0,28538000000.0,0.0,28055000000.0,5662000000.0,483000000.0,0.0,22393000000.0,1704000000.0,20689000000.0,4.31,4.28,4707244168.0,4799700000.0,1.64,1.0,0.397,0.3314,0.244,0.4261,33648000000.0,28055000000.0,22876000000.0
17,47389000000.0,-0.043,31166000000.0,16223000000.0,0.0,14688000000.0,14650000000.0,1573000000.0,1309000000.0,148000000.0,154000000.0,67000000.0,42000000.0,-6000000.0,0.0,-6000000.0,-0.01,-0.01,884648470.0,898405537.0,1.28,0.3423,0.144,0.0307,0.0,0.0013,6819000000.0,1457000000.0,61000000.0
18,170756000000.0,0.0636,79419000000.0,91337000000.0,0.0,36765000000.0,65241000000.0,26096000000.0,7957000000.0,24290000000.0,4920000000.0,583000000.0,0.0,19370000000.0,0.0,19370000000.0,2.85,2.85,7278000000.0,7278000000.0,2.0,0.5349,0.355,0.1888,0.113,0.1338,60677000000.0,32247000000.0,19953000000.0
19,72854000000.0,0.0057,7568000000.0,65286000000.0,0.0,41841000000.0,41841000000.0,23445000000.0,0.0,23402000000.0,5357000000.0,35000000.0,8000000.0,18045000000.0,0.0,18045000000.0,6.69,6.68,2442136813.0,2493300000.0,1.54,0.8961,0.373,0.3212,0.248,0.4583,27156000000.0,23402000000.0,18080000000.0
20,36575000000.0,0.0768,22109000000.0,14466000000.0,373000000.0,523000000.0,2511000000.0,11955000000.0,2345000000.0,6688000000.0,-172000000.0,36000000.0,92000000.0,6860000000.0,0.0,6860000000.0,1.32,1.32,5197432081.0,5197432081.0,0.5489999999999999,0.3955,0.3389999999999999,0.247,0.188,0.2493,12384000000.0,9033000000.0,6896000000.0
21,40107000000.0,0.057,0.0,40107000000.0,0.0,23995000000.0,28870000000.0,11237000000.0,0.0,11098000000.0,2350000000.0,135000000.0,4000000.0,8748000000.0,526000000.0,8222000000.0,4.81,4.73,1720154771.0,1708000000.0,1.1,1.0,0.3229999999999999,0.2767,0.205,0.1356,12942000000.0,11098000000.0,8883000000.0
22,6818200000.0,0.1213,5911000000.0,907200000.0,0.0,322600000.0,542800000.0,364400000.0,151600000.0,179800000.0,-6200000.0,58100000.0,0.0,186000000.0,0.0,186000000.0,0.59,0.59,315541965.0,315541965.0,0.0,0.1331,0.086,0.0486,0.027,0.0312,583600000.0,331400000.0,244100000.0
23,109029000000.0,0.0827,0.0,109029000000.0,0.0,57663000000.0,63394000000.0,45635000000.0,0.0,38999000000.0,8290000000.0,1765000000.0,0.0,30709000000.0,0.0,30709000000.0,9.04,9.0,3325410725.0,3396400000.0,2.48,1.0,0.429,0.3577,0.282,0.1301,46790000000.0,38999000000.0,32474000000.0
