 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Cash flow rate over revenues
0.390922829,0.445704317,0.436158253,0.619949841,0.619949841,0.998993121,0.797011929,0.80896039,0.302814415,0.781180079,0.000398483,0.461020105
0.488519475,0.545137375,0.543283902,0.603612044,0.603612044,0.998960768,0.797413531,0.809338092,0.303583501,0.781598185,0.000168714,0.463142179
0.482474528,0.567542521,0.538197976,0.614025858,0.614025858,0.998978447,0.797534994,0.809459697,0.303758974,0.781629483,0.000318116,0.46481803
0.444401111,0.549716529,0.498956047,0.623711786,0.623711786,0.998975327,0.79744286,0.80938913,0.303604528,0.781373202,0.000476654,0.465490719
0.491151952,0.551569996,0.543390974,0.608130702,0.608137909,0.999044887,0.797428887,0.809344342,0.303434856,0.781609132,0.00015715,0.464100048
0.474040852,0.533307894,0.523689705,0.600577985,0.600577985,0.998967008,0.797368294,0.809299293,0.303491655,0.781550887,0.000113786,0.467198443
0.513820504,0.571085914,0.558755822,0.621773159,0.621773159,0.999096883,0.797506773,0.809395509,0.303461926,0.781652501,0.000323782,0.472093472
0.488909472,0.56023768,0.540285883,0.606523588,0.606523588,0.998996472,0.797877249,0.809761103,0.304319474,0.781933905,0.000179815,0.462196053
0.53595281,0.59043829,0.580919749,0.618450828,0.618450828,0.999118837,0.797588255,0.809460738,0.303558606,0.781726606,0.000248734,0.470061985
0.487398235,0.543720017,0.533647412,0.63625881,0.636251604,0.999041651,0.797443551,0.809340436,0.303467002,0.781598606,0.00061137,0.465163601
0.485253254,0.545573485,0.534664597,0.622176739,0.622256014,0.999065454,0.797521714,0.809405795,0.303553772,0.781654326,0.000363099,0.488241363
0.504558085,0.564489751,0.553027464,0.607446057,0.607446057,0.999029981,0.797465824,0.809370902,0.303530569,0.781629343,0.000160966,0.470644087
0.51201677,0.563672045,0.569034745,0.618933683,0.618933683,0.999058637,0.797444381,0.809367126,0.303432922,0.781624852,0.000316613,0.470652475
0.49485692,0.54813563,0.540446491,0.6095072,0.6095072,0.999052397,0.797413255,0.80932312,0.303391592,0.781595659,0.00017172,0.464264446
0.444986106,0.50365242,0.495529739,0.611762925,0.611806166,0.998925064,0.797046237,0.808992679,0.303016717,0.78124857,0.000335924,0.466873003
0.519280456,0.563617532,0.568606456,0.626544055,0.626544055,0.999099309,0.797512168,0.8094028,0.303466277,0.781672712,0.000398021,0.471058437
0.54740896,0.59305495,0.592483538,0.609737817,0.609737817,0.999111788,0.797571239,0.80944876,0.303543379,0.781699799,0.000115752,0.495880828
0.500853118,0.563944614,0.550564805,0.60202655,0.602293201,0.998982376,0.797502899,0.809400066,0.303694924,0.78163622,0.000125928,0.473888428
0.476088334,0.54448321,0.529685743,0.618868822,0.618868822,0.999014036,0.79738033,0.809307105,0.303414553,0.781538255,0.000360208,0.46320928
0.486374494,0.544755778,0.540500027,0.603475115,0.603475115,0.998943552,0.797414915,0.809338353,0.303621931,0.781598466,0.000183746,0.465754091
0.475162092,0.564544265,0.525028106,0.614278096,0.614278096,0.998973363,0.797519777,0.809443813,0.303743022,0.781551448,0.000327251,0.466757253
0.462925949,0.516354121,0.51710477,0.622702835,0.622529872,0.998997397,0.797245033,0.809190188,0.303212493,0.781472009,0.000435487,0.463940683
0.478915809,0.541321413,0.529310991,0.607042477,0.607006443,0.999017386,0.797403986,0.809317131,0.303448633,0.781569974,0.000166517,0.463568271
0.481060791,0.539467946,0.530863537,0.60088067,0.60088067,0.998975443,0.797387938,0.809315698,0.303508332,0.781572641,0.000110202,0.467552402
0.507824307,0.571631051,0.549226404,0.625326107,0.625326107,0.999135707,0.797541635,0.809413346,0.303441623,0.78163608,0.000342053,0.469151087
0.48915322,0.562690798,0.541517212,0.604411998,0.604411998,0.998970821,0.797896063,0.8097986,0.30440576,0.781950186,0.000171489,0.461857192
0.511188027,0.566888356,0.559077038,0.61817697,0.61817697,0.999077471,0.797521852,0.80940918,0.303528877,0.781676501,0.000285622,0.46673209
0.508848048,0.553423463,0.552920392,0.635718301,0.635718301,0.999062103,0.797481041,0.809365173,0.303489721,0.781655308,0.000582461,0.468025465
0.488958222,0.54900785,0.538947481,0.624317156,0.624288329,0.999098154,0.797546753,0.809430142,0.303528877,0.781683238,0.000362867,0.487182842
0.502120606,0.563508504,0.545853632,0.608865795,0.608865795,0.999048353,0.797465409,0.809363741,0.303491172,0.781610396,0.00016536,0.468696476
0.523082923,0.563344963,0.57235398,0.620944378,0.620944378,0.999101736,0.797474816,0.809371162,0.303395701,0.781642255,0.000305627,0.471281548
0.493345683,0.550534235,0.539804058,0.610206258,0.610206258,0.999022817,0.79742861,0.809341217,0.303480295,0.781601694,0.000212424,0.460268572
0.505630576,0.559747056,0.549172868,0.60456334,0.60456334,0.99903079,0.797414638,0.809331582,0.303439448,0.781582887,0.000114018,0.463714216
