 satisfaccion , evaluacion ,numero_proyecto, horas_mensuales , antiguedad_empresa ,accidentes,promocionado,departamento,nivel_salario,abandono
 0.38 , 0.53 ,2, 157.00 , 3.00 ,0,0,ventas,bajo,Si
 0.80 , 0.86 ,5, 262.00 , 6.00 ,0,0,ventas,intermedio,Si
 0.11 , 0.88 ,7, 272.00 , 4.00 ,0,0,ventas,intermedio,Si
 0.72 , 0.87 ,5, 223.00 , 5.00 ,0,0,ventas,bajo,Si
 0.37 , 0.52 ,2, 159.00 , 3.00 ,0,0,ventas,bajo,Si
 0.41 , 0.50 ,2, 153.00 , 3.00 ,0,0,ventas,bajo,Si
 0.10 , 0.77 ,6, 247.00 , 4.00 ,0,0,ventas,bajo,Si
 0.92 , 0.85 ,5, 259.00 , 5.00 ,0,0,ventas,bajo,Si
 0.89 , 1.00 ,5, 224.00 , 5.00 ,0,0,ventas,bajo,Si
 0.42 , 0.53 ,2, 142.00 , 3.00 ,0,0,ventas,bajo,Si
 0.45 , 0.54 ,2, 135.00 , 3.00 ,0,0,ventas,bajo,Si
 0.11 , 0.81 ,6, 305.00 , 4.00 ,0,0,ventas,bajo,Si
 0.84 , 0.92 ,4, 234.00 , 5.00 ,0,0,ventas,bajo,Si
 0.41 , 0.55 ,2, 148.00 , 3.00 ,0,0,ventas,bajo,Si
 0.36 , 0.56 ,2, 137.00 , 3.00 ,0,0,ventas,bajo,Si
 0.38 , 0.54 ,2, 143.00 , 3.00 ,0,0,ventas,bajo,Si
 0.45 , 0.47 ,2, 160.00 , 3.00 ,0,0,ventas,bajo,Si
 0.78 , 0.99 ,4, 255.00 , 6.00 ,0,0,ventas,bajo,Si
 0.45 , 0.51 ,2, 160.00 , 3.00 ,1,1,ventas,bajo,Si
 0.76 , 0.89 ,5, 262.00 , 5.00 ,0,0,ventas,bajo,Si
 0.11 , 0.83 ,6, 282.00 , 4.00 ,0,0,ventas,bajo,Si
 0.38 , 0.55 ,2, 147.00 , 3.00 ,0,0,ventas,bajo,Si
 0.09 , 0.95 ,6, 304.00 , 4.00 ,0,0,ventas,bajo,Si
 0.46 , 0.57 ,2, 139.00 , 3.00 ,0,0,ventas,bajo,Si
 0.40 , 0.53 ,2, 158.00 , 3.00 ,0,0,ventas,bajo,Si
 0.89 , 0.92 ,5, 242.00 , 5.00 ,0,0,ventas,bajo,Si
 0.82 , 0.87 ,4, 239.00 , 5.00 ,0,0,ventas,bajo,Si
 0.40 , 0.49 ,2, 135.00 , 3.00 ,0,0,ventas,bajo,Si
 0.41 , 0.46 ,2, 128.00 , 3.00 ,0,0,contabilidad,bajo,Si
 0.38 , 0.50 ,2, 132.00 , 3.00 ,0,0,contabilidad,bajo,Si
 0.09 , 0.62 ,6, 294.00 , 4.00 ,0,0,contabilidad,bajo,Si
 0.45 , 0.57 ,2, 134.00 , 3.00 ,0,0,recursos_humanos,bajo,Si
 0.40 , 0.51 ,2, 145.00 , 3.00 ,0,0,recursos_humanos,bajo,Si
