,fund_name,fund_category,category_return_2009,fund_return_2008,category_return_2008,fund_return_2007,category_return_2007,fund_return_2006,category_return_2006,fund_return_2005,category_return_2005,fund_return_2004,category_return_2004,fund_return_2003,category_return_2003,fund_return_2002,category_return_2002,fund_return_2001,category_return_2001,fund_return_2000,category_return_2000,fund_alpha_3years,fund_beta_3years,fund_mean_annual_return_3years,fund_r_squared_3years,fund_stdev_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years,fund_alpha_5years,fund_beta_5years,fund_mean_annual_return_5years,fund_r_squared_5years,fund_stdev_5years,fund_sharpe_ratio_5years,fund_treynor_ratio_5years,fund_alpha_10years,fund_beta_10years,fund_mean_annual_return_10years,fund_r_squared_10years,fund_stdev_10years,fund_sharpe_ratio_10years,fund_treynor_ratio_10years
0,DWS RREEF Real Assets Fund - Cl,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.18,0.07,1.23,0.54,14.93,0.91,187.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AllianzGI Health Sciences Fund ,Foreign Large Growth,0.2908,0.0,-0.42427,0.0,0.31193,0.0,0.21884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,1.11,0.85,75.96,22.42,0.4,6.11,0.38,1.11,1.1,70.49,19.3,0.62,9.66,3.32,0.96,0.79,73.64,16.78,0.53,8.15
2,unlisted,Pacific/Asia ex-Japan Stk,0.73761,0.0,-0.51342,0.0,0.39069,0.0,0.37975,0.0,0.14049,0.0,0.21046,0.0,0.38684,0.0,-0.07992,0.0,0.02745,0.0,-0.16595,1.2,0.9,0.8,74.34,18.48,0.46,7.8,1.89,0.94,0.97,73.28,15.91,0.66,10.37,0.3,0.99,0.55,78.24,16.83,0.36,4.81
3,Thrivent Large Cap Growth Fund ,Large Value,0.25157,0.0,-0.35846,0.0,0.01809,0.0,0.20182,0.0,0.05311,0.0,0.14458,0.0,0.30804,0.0,-0.17206,0.0,-0.0626,0.0,0.06973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,unlisted,Miscellaneous Sector,0.31262,0.0,-0.33986,0.0,0.01815,0.0,0.1485,0.0,0.0159,0.0,0.14628,0.0,0.26847,0.0,-0.1862,0.0,-0.0085,0.0,0.05371,24.18,1.31,3.65,52.02,32.6,1.3,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,American Century Strategic Allo,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,unlisted,Large Blend,0.32264,0.0,-0.38047,0.0,0.04402,0.0,0.15549,0.0,0.04685,0.0,0.12554,0.0,0.29092,0.0,-0.17842,0.0,-0.05751,0.0,-0.05243,-1.22,1.02,1.47,94.98,19.42,0.85,15.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,unlisted,Small Value,0.34941,0.0,-0.37823,0.0,-0.08066,0.0,0.19763,0.0,0.05405,0.0,0.21014,0.0,0.42788,0.0,-0.09634,0.0,0.12856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,unlisted,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.28,99.99,17.94,0.78,13.45,0.17,1.0,1.24,99.99,14.51,0.95,13.66,0.15,1.0,0.89,99.96,14.05,0.71,9.45
9,unlisted,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.84,83.9,12.45,0.71,13.46,-1.11,0.64,0.74,81.13,10.43,0.74,11.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Horizon Active Asset Allocation,Foreign Large Blend,0.38882,0.0,-0.44749,0.0,0.29141,0.0,0.19521,0.0,0.19425,0.0,0.19488,0.0,0.44137,0.0,-0.14519,0.0,-0.19887,0.0,0.03012,-0.12,1.0,0.87,99.97,17.6,0.52,8.03,-0.19,1.0,0.95,99.96,14.6,0.7,9.72,-0.13,1.0,0.53,99.94,15.08,0.38,4.7
11,unlisted,Multisector Bond,0.04504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,DWS RREEF Real Assets Fund - Cl,Pacific/Asia ex-Japan Stk,0.73761,-0.51711,-0.51342,0.26129,0.39069,0.0,0.37975,0.0,0.14049,0.0,0.21046,0.0,0.38684,0.0,-0.07992,0.0,0.02745,0.0,-0.16595,2.2,0.93,1.0,88.39,17.34,0.62,10.65,1.98,0.92,1.06,81.91,14.77,0.78,12.15,2.6,0.86,0.69,76.02,14.94,0.51,7.83
13,DWS RREEF Real Assets Fund - Cl,Diversified Emerging Mkts,0.70114,-0.48955,-0.492,0.43461,0.40484,0.37693,0.29363,0.4082,0.33696,0.17917,0.28617,0.52679,0.50479,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.05,1.0,70.46,21.98,0.5,8.54,0.62,1.1,1.01,68.4,19.35,0.57,8.75,-2.38,1.15,0.51,74.24,19.76,0.28,3.17
14,American Century Strategic Allo,Emerging Markets Bond,0.30189,0.0,-0.13211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,DWS RREEF Real Assets Fund - Cl,Large Blend,0.32264,0.0,-0.38047,0.0,0.04402,0.0,0.15549,0.0,0.04685,0.0,0.12554,0.0,0.29092,0.0,-0.17842,0.0,-0.05751,0.0,-0.05243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,American Fds 2010 Target Date R,Multisector Bond,0.04504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,American Century Strategic Allo,Miscellaneous Region,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.56,1.22,0.34,79.39,24.15,0.12,-0.19,-6.85,1.19,0.56,73.87,20.23,0.28,3.0,-5.76,1.04,0.08,67.52,19.16,0.02,-1.47
18,DWS RREEF Real Assets Fund - Cl,Large Blend,0.32264,0.0,-0.38047,0.0,0.04402,0.0,0.15549,0.0,0.04685,0.0,0.12554,0.0,0.29092,0.0,-0.17842,0.0,-0.05751,0.0,-0.05243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,DWS RREEF Real Assets Fund - Cl,Mid-Cap Blend,0.41986,0.0,-0.3965,0.0,0.05944,0.0,0.12485,0.0,0.11817,0.0,0.19735,0.0,0.38457,0.0,-0.16149,0.0,-0.00152,0.0,0.17077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,DWS RREEF Real Assets Fund - Cl,Small Blend,0.32673,0.0,-0.40663,0.0,-0.04847,0.0,0.16837,0.0,0.06375,0.0,0.20303,0.0,0.42767,0.0,-0.17621,0.0,0.04157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Cavanal Hill Active Core Fd Cl ,China Region,0.67665,0.0,-0.50899,0.0,0.42833,0.0,0.46139,0.0,0.05902,0.0,0.16256,0.0,0.3835,0.0,-0.22312,0.0,-0.06992,0.0,-0.14001,8.95,0.86,1.52,56.08,20.27,0.84,18.88,6.78,0.91,1.45,46.88,19.42,0.84,17.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Putnam Dynamic Asset Allocation,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.02,0.64,0.24,60.64,2.79,0.5,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,unlisted,Intermediate-Term Bond,0.08281,0.0,0.04235,0.0,0.06573,0.0,0.04126,0.0,0.02161,0.0,0.03989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.57,1.22,0.47,81.32,4.7,0.95,3.62,-0.11,1.2,0.28,85.26,4.21,0.52,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Thrivent Balanced Income Plus F,Health,0.2568,0.0,-0.24887,0.0,0.09566,0.0,0.06282,0.0,0.06572,0.0,0.03509,0.0,0.27339,0.0,-0.28174,0.0,-0.13345,0.0,0.0,2.3,0.84,1.27,72.15,17.69,0.79,16.02,2.51,0.87,1.29,65.24,15.69,0.92,16.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
