IdEmpresa,Importe debe,Importe haber,Saldo,Fecha,IdAsiento,IdApunte,SCPGC,CPGC,CPGC2,Id Mayor
2,14,0,14,2020-01-10 00:00:00.000,"2 -2020-0045","2 -2020-0045-0178","2-41000247","4100","41",1
2,14,0,14,2020-01-11 00:00:00.000,"2 -2020-0047","2 -2020-0047-0182","2-41000247","4100","41",2
2,14,0,14,2020-01-18 00:00:00.000,"2 -2020-0053","2 -2020-0053-0194","2-41000247","4100","41",5
2,14,0,14,2020-01-23 00:00:00.000,"2 -2020-0073","2 -2020-0073-0242","2-41000247","4100","41",6
2,14,0,14,2020-01-24 00:00:00.000,"2 -2020-0075","2 -2020-0075-0246","2-41000247","4100","41",7
2,14,0,14,2020-01-25 00:00:00.000,"2 -2020-0080","2 -2020-0080-0256","2-41000247","4100","41",8
2,14,0,14,2020-01-30 00:00:00.000,"2 -2020-0088","2 -2020-0088-0274","2-41000247","4100","41",10
2,14,0,14,2020-02-05 00:00:00.000,"2 -2020-0110","2 -2020-0110-0334","2-41000247","4100","41",11
2,14,0,14,2020-02-06 00:00:00.000,"2 -2020-0118","2 -2020-0118-0356","2-41000247","4100","41",12
2,14,0,14,2020-02-07 00:00:00.000,"2 -2020-0121","2 -2020-0121-0363","2-41000247","4100","41",13
2,14,0,14,2020-02-18 00:00:00.000,"2 -2020-0152","2 -2020-0152-0442","2-41000247","4100","41",14
2,14,0,14,2020-02-20 00:00:00.000,"2 -2020-0154","2 -2020-0154-0446","2-41000247","4100","41",15
2,14,0,14,2020-02-21 00:00:00.000,"2 -2020-0158","2 -2020-0158-0454","2-41000247","4100","41",17
2,14,0,14,2020-03-05 00:00:00.000,"2 -2020-0218","2 -2020-0218-0606","2-41000247","4100","41",19
2,14,0,14,2020-03-06 00:00:00.000,"2 -2020-0220","2 -2020-0220-0610","2-41000247","4100","41",20
2,14,0,14,2020-03-07 00:00:00.000,"2 -2020-0223","2 -2020-0223-0616","2-41000247","4100","41",21
2,14,0,14,2020-03-22 00:00:00.000,"2 -2020-0255","2 -2020-0255-0694","2-41000247","4100","41",22
2,14,0,14,2020-03-25 00:00:00.000,"2 -2020-0256","2 -2020-0256-0696","2-41000247","4100","41",23
2,14,0,14,2020-03-26 00:00:00.000,"2 -2020-0259","2 -2020-0259-0702","2-41000247","4100","41",24
2,14,0,14,2020-04-01 00:00:00.000,"2 -2020-0290","2 -2020-0290-0796","2-41000247","4100","41",27
2,14,0,14,2020-04-02 00:00:00.000,"2 -2020-0295","2 -2020-0295-0807","2-41000247","4100","41",28
2,14,0,14,2020-04-03 00:00:00.000,"2 -2020-0298","2 -2020-0298-0813","2-41000247","4100","41",29
2,14,0,14,2020-04-24 00:00:00.000,"2 -2020-0350","2 -2020-0350-0945","2-41000247","4100","41",30
2,14,0,14,2020-04-25 00:00:00.000,"2 -2020-0359","2 -2020-0359-0967","2-41000247","4100","41",31
2,14,0,14,2020-04-26 00:00:00.000,"2 -2020-0364","2 -2020-0364-0978","2-41000247","4100","41",32
2,14,0,14,2020-05-02 00:00:00.000,"2 -2020-0386","2 -2020-0386-1044","2-41000247","4100","41",35
2,14,0,14,2020-05-07 00:00:00.000,"2 -2020-0416","2 -2020-0416-1116","2-41000247","4100","41",37
2,14,0,14,2020-05-14 00:00:00.000,"2 -2020-0431","2 -2020-0431-1151","2-41000247","4100","41",38
2,14,0,14,2020-05-15 00:00:00.000,"2 -2020-0440","2 -2020-0440-1172","2-41000247","4100","41",39
2,14,0,14,2020-05-20 00:00:00.000,"2 -2020-0452","2 -2020-0452-1202","2-41000247","4100","41",42
2,14,0,14,2020-05-23 00:00:00.000,"2 -2020-0461","2 -2020-0461-1223","2-41000247","4100","41",45
2,14,0,14,2020-05-28 00:00:00.000,"2 -2020-0472","2 -2020-0472-1249","2-41000247","4100","41",46
2,14,0,14,2020-05-29 00:00:00.000,"2 -2020-0476","2 -2020-0476-1258","2-41000247","4100","41",47
2,14,0,14,2020-06-03 00:00:00.000,"2 -2020-0496","2 -2020-0496-1318","2-41000247","4100","41",49
2,14,0,14,2020-06-10 00:00:00.000,"2 -2020-0525","2 -2020-0525-1388","2-41000247","4100","41",51
2,14,0,14,2020-06-10 00:00:00.000,"2 -2020-0526","2 -2020-0526-1390","2-41000247","4100","41",52
2,14,0,14,2020-06-12 00:00:00.000,"2 -2020-0532","2 -2020-0532-1402","2-41000247","4100","41",55
2,14,0,14,2020-06-13 00:00:00.000,"2 -2020-0533","2 -2020-0533-1404","2-41000247","4100","41",56
2,14,0,14,2020-06-18 00:00:00.000,"2 -2020-0547","2 -2020-0547-1437","2-41000247","4100","41",58
2,14,0,14,2020-06-20 00:00:00.000,"2 -2020-0553","2 -2020-0553-1450","2-41000247","4100","41",60
