Region,State,Area,City,Consumer_profile,Product_type,AC_1001_Issue,AC_1002_Issue,AC_1003_Issue,TV_2001_Issue,TV_2002_Issue,TV_2003_Issue,Claim_Value,Service_Centre,Product_Age,Purchased_from,Call_details,Purpose,Fraud
South,Karnataka,Urban,Bangalore,Business,TV,0,0,0,1,2,0,15000,10,60,Manufacturer,0.5,Complaint,1
South,Karnataka,Rural,Bangalore,Business,AC,1,1,0,0,0,0,20000,12,10,Dealer,1,Complaint,0
North,Haryana,Urban,Chandigarh,Personal,AC,0,1,2,0,0,0,18000,14,10,Dealer,1.4,Claim,0
South,Tamil Nadu,Urban,Chennai,Business,TV,0,0,0,1,1,0,12000,16,20,Manufacturer,2,Complaint,0
North East,Jharkhand,Rural,Ranchi,Personal,TV,0,0,0,0,1,2,25000,15,6,Dealer,1.3,Claim,0
North West,Kerala,Urban,Kochi,Personal,TV,0,0,0,2,1,0,12000,14,3,Internet,1.4,Complaint,0
South East,Tamil Nadu,Urban,Chennai,Business,TV,0,0,0,1,1,1,15000,12,4,Manufacturer,1.6,Complaint,0
South West,Andhra Pradesh,Urban,Hyderabad,Business,TV,0,0,0,1,1,1,10000,13,5,Dealer,2.6,Claim,0
South,Karnataka,Urban,Bangalore,Business,AC,0,0,1,0,0,0,50000,10,18,Manufacturer,2.4,Claim,0
West,Karnataka,Rural,Bangalore,Business,TV,0,0,0,1,1,1,20000,12,7,Manufacturer,6.5,Claim,0
East,Bihar,Rural,Patna,Personal,AC,0,0,2,0,0,0,25000,13,4,Dealer,0.5,Complaint,0
North,Bihar,Rural,Purnea,Personal,AC,1,1,0,0,0,0,12000,15,21,Internet,1,Complaint,0
North East,Gujarat,Rural,Vadodara,Personal,AC,1,1,0,0,0,0,15000,15,16,Manufacturer,1.5,Claim,0
North West,Karnataka,Urban,Bangalore,Personal,TV,0,0,0,1,1,1,10000,14,9,Dealer,2.5,Complaint,0
South East,Tamil Nadu,Rural,Chennai,Business,TV,0,0,0,1,1,1,50000,12,19,Manufacturer,1.3,Claim,0
South West,Andhra Pradesh,Urban,Hyderabad,Business,TV,0,0,0,1,1,1,20000,13,14,Manufacturer,1.4,Claim,0
