cliente_id,respuesta,cobertura,genero,estado,prima_mensual,meses_sin_reclamo,meses_poliza,reclamos,polizas,poliza_tipo,canal
BU79786,No,Basic,F,Married,69,32,5,0,1,Corporate Auto,Agent
QZ44356,No,Extended,F,Single,94,13,42,0,8,Personal Auto,Agent
AI49188,No,Premium,F,Married,108,18,38,0,2,Personal Auto,Agent
WW63253,No,Basic,M,Married,106,18,65,0,7,Corporate Auto,Call Center
HB64268,No,Basic,M,Single,73,12,44,0,1,Personal Auto,Agent
OC83172,Yes,Basic,F,Married,69,14,94,0,2,Personal Auto,Web
XZ87318,Yes,Basic,F,Married,67,0,13,0,9,Corporate Auto,Agent
CF85061,No,Premium,M,Single,101,0,68,0,4,Corporate Auto,Agent
DY87989,Yes,Basic,M,Divorced,71,13,3,0,2,Corporate Auto,Agent
BQ94931,No,Extended,F,Married,93,17,7,0,8,Special Auto,Branch
SX51350,No,Basic,M,Single,67,23,5,0,3,Personal Auto,Agent
VQ65197,No,Basic,F,Married,110,27,87,0,3,Personal Auto,Agent
DP39365,No,Premium,M,Married,110,9,82,2,3,Corporate Auto,Agent
SJ95423,Yes,Basic,M,Married,110,23,25,1,8,Corporate Auto,Branch
IL66569,No,Basic,M,Single,70,21,10,2,8,Corporate Auto,Call Center
BW63560,No,Basic,F,Married,64,12,50,1,2,Corporate Auto,Branch
FV94802,No,Basic,M,Married,67,14,7,0,1,Personal Auto,Call Center
OE15005,No,Basic,M,Married,101,12,59,0,1,Personal Auto,Call Center
WC83389,No,Basic,M,Married,72,9,1,0,7,Personal Auto,Branch
FL50705,No,Premium,F,Married,101,11,21,0,3,Corporate Auto,Call Center
ZK25313,No,Basic,M,Single,74,31,21,0,1,Personal Auto,Branch
SV62436,No,Extended,F,Divorced,79,8,49,0,1,Personal Auto,Call Center
YH23384,Yes,Basic,M,Divorced,71,13,3,0,2,Personal Auto,Agent
TZ98966,No,Basic,F,Single,73,4,44,3,1,Corporate Auto,Branch
HM55802,No,Basic,F,Married,61,30,91,0,1,Corporate Auto,Branch
FS42516,No,Basic,M,Married,72,22,1,0,3,Personal Auto,Call Center
US89481,No,Premium,F,Single,111,15,47,0,1,Personal Auto,Agent
HO30839,No,Extended,F,Married,139,33,64,0,1,Corporate Auto,Branch
GE62437,No,Premium,F,Single,111,33,54,2,2,Personal Auto,Call Center
EJ77678,No,Extended,F,Married,80,17,44,1,1,Personal Auto,Branch
SV85652,No,Basic,M,Married,63,4,6,1,1,Personal Auto,Call Center
