date,av_factor,hits,hour,weekday
2013-07-31 00:00:00,0.0,0.0,0.0,2.0
2013-07-31 01:00:00,0.0,0.0,1.0,2.0
2013-07-31 02:00:00,0.0,0.0,2.0,2.0
2013-07-31 03:00:00,0.0,0.0,3.0,2.0
2013-07-31 04:00:00,0.0,0.0,4.0,2.0
2013-07-31 05:00:00,0.0,0.0,5.0,2.0
2013-07-31 06:00:00,0.0,0.0,6.0,2.0
2013-07-31 07:00:00,0.0,0.0,7.0,2.0
2013-07-31 08:00:00,0.0,0.0,8.0,2.0
2013-07-31 09:00:00,0.0,0.0,9.0,2.0
2013-07-31 10:00:00,0.0,0.0,10.0,2.0
2013-07-31 11:00:00,0.0,0.0,11.0,2.0
2013-07-31 12:00:00,0.0,0.0,12.0,2.0
2013-07-31 13:00:00,0.0,0.0,13.0,2.0
2013-07-31 14:00:00,0.0,0.0,14.0,2.0
2013-07-31 15:00:00,0.0,9.0,15.0,2.0
2013-07-31 16:00:00,0.0,24.0,16.0,2.0
2013-07-31 17:00:00,0.0,12.0,17.0,2.0
2013-07-31 18:00:00,0.0,9.0,18.0,2.0
2013-07-31 19:00:00,0.0,16.0,19.0,2.0
2013-07-31 20:00:00,0.0,18.0,20.0,2.0
2013-07-31 21:00:00,0.0,14.0,21.0,2.0
2013-07-31 22:00:00,0.0,4.0,22.0,2.0
2013-07-31 23:00:00,0.0,6.0,23.0,2.0
2013-08-01 00:00:00,0.0,1.0,0.0,3.0
2013-08-01 01:00:00,0.0,2.0,1.0,3.0
2013-08-01 02:00:00,0.0,3.0,2.0,3.0
2013-08-01 03:00:00,0.0,0.0,3.0,3.0
2013-08-01 04:00:00,0.0,2.0,4.0,3.0
2013-08-01 05:00:00,0.0,1.0,5.0,3.0
2013-08-01 06:00:00,0.0,0.0,6.0,3.0
2013-08-01 07:00:00,0.0,10.0,7.0,3.0
2013-08-01 08:00:00,0.0,20.0,8.0,3.0
2013-08-01 09:00:00,0.0,22.0,9.0,3.0
2013-08-01 10:00:00,0.0,29.0,10.0,3.0
2013-08-01 11:00:00,0.0,33.0,11.0,3.0
2013-08-01 12:00:00,0.0,9.0,12.0,3.0
2013-08-01 13:00:00,0.0,17.0,13.0,3.0
2013-08-01 14:00:00,0.0,27.0,14.0,3.0
2013-08-01 15:00:00,0.0,22.0,15.0,3.0
2013-08-01 16:00:00,0.0,27.0,16.0,3.0
2013-08-01 17:00:00,0.0,23.0,17.0,3.0
2013-08-01 18:00:00,0.0,18.0,18.0,3.0
2013-08-01 19:00:00,0.0,22.0,19.0,3.0
2013-08-01 20:00:00,0.0,13.0,20.0,3.0
2013-08-01 21:00:00,0.0,11.0,21.0,3.0
2013-08-01 22:00:00,0.0,13.0,22.0,3.0
2013-08-01 23:00:00,0.0,10.0,23.0,3.0
2013-08-02 00:00:00,0.0,3.0,0.0,4.0
2013-08-02 01:00:00,0.0,3.0,1.0,4.0
2013-08-02 02:00:00,0.0,1.0,2.0,4.0
2013-08-02 03:00:00,0.0,0.0,3.0,4.0
2013-08-02 04:00:00,0.0,0.0,4.0,4.0
2013-08-02 05:00:00,0.0,0.0,5.0,4.0
2013-08-02 06:00:00,0.0,0.0,6.0,4.0
2013-08-02 07:00:00,0.0,5.0,7.0,4.0
2013-08-02 08:00:00,0.0,11.0,8.0,4.0
2013-08-02 09:00:00,0.0,11.0,9.0,4.0
2013-08-02 10:00:00,0.0,13.0,10.0,4.0
2013-08-02 11:00:00,0.0,9.0,11.0,4.0
2013-08-02 12:00:00,0.0,5.0,12.0,4.0
2013-08-02 13:00:00,0.0,10.0,13.0,4.0
2013-08-02 14:00:00,0.0,10.0,14.0,4.0
2013-08-02 15:00:00,0.0,6.0,15.0,4.0
