fecha,servicio,tienda,ventas
11/24/2020,Pro,tienda_A,28539
3/27/2021,Pro,tienda_A,4236
2/21/2021,Pro,tienda_A,4206
12/11/2020,Pro,tienda_A,22982
11/1/2020,Pro,tienda_A,4200
6/15/2020,Pro,tienda_A,28534
2/10/2021,Pro,tienda_A,24348
9/12/2020,Pro,tienda_A,4481
4/24/2020,Pro,tienda_A,16969
3/23/2021,Pro,tienda_A,27684
9/30/2020,Pro,tienda_A,27611
1/15/2021,Pro,tienda_A,23666
6/13/2021,Pro,tienda_A,3855
7/20/2020,Pro,tienda_A,29852
3/15/2021,Pro,tienda_A,28920
3/3/2020,Pro,tienda_A,25762
7/26/2020,Pro,tienda_A,3982
5/2/2021,Pro,tienda_A,3413
8/17/2020,Pro,tienda_A,29101
1/21/2021,Pro,tienda_A,27227
2/24/2021,Pro,tienda_A,27466
12/25/2020,Pro,tienda_A,8257
11/3/2020,Pro,tienda_A,27313
11/20/2020,Pro,tienda_A,23200
2/23/2021,Pro,tienda_A,25839
8/5/2020,Pro,tienda_A,27039
9/28/2020,Pro,tienda_A,27772
11/6/2020,Pro,tienda_A,23797
3/5/2020,Pro,tienda_A,24583
6/16/2020,Pro,tienda_A,27408
5/29/2020,Pro,tienda_A,20207
8/18/2020,Pro,tienda_A,28312
3/5/2021,Pro,tienda_A,23534
6/20/2020,Pro,tienda_A,4346
11/13/2020,Pro,tienda_A,23062
1/25/2021,Pro,tienda_A,29386
5/6/2020,Pro,tienda_A,21089
4/8/2021,Pro,tienda_A,26248
6/26/2020,Pro,tienda_A,20412
4/12/2021,Pro,tienda_A,27584
4/23/2021,Pro,tienda_A,21768
2/8/2020,Pro,tienda_A,3227
4/29/2020,Pro,tienda_A,18245
2/3/2021,Pro,tienda_A,27707
9/11/2020,Pro,tienda_A,24842
6/10/2020,Pro,tienda_A,26676
4/16/2020,Pro,tienda_A,19695
6/18/2020,Pro,tienda_A,26167
11/21/2020,Pro,tienda_A,3867
11/10/2020,Pro,tienda_A,29475
3/13/2021,Pro,tienda_A,4192
7/27/2020,Pro,tienda_A,28061
11/4/2020,Pro,tienda_A,27816
1/16/2021,Pro,tienda_A,4160
5/31/2021,Pro,tienda_A,21993
5/3/2020,Pro,tienda_A,4055
1/28/2021,Pro,tienda_A,26532
12/21/2020,Pro,tienda_A,26616
6/2/2020,Pro,tienda_A,25964
8/13/2020,Pro,tienda_A,25422
9/14/2020,Pro,tienda_A,31175
4/14/2020,Pro,tienda_A,19315
3/18/2020,Pro,tienda_A,20930
5/23/2020,Pro,tienda_A,3584
3/22/2021,Pro,tienda_A,29792
3/11/2020,Pro,tienda_A,25138
7/18/2020,Pro,tienda_A,4481
9/29/2020,Pro,tienda_A,28956
5/27/2021,Pro,tienda_A,25553
3/1/2020,Pro,tienda_A,3535
6/14/2021,Pro,tienda_A,23884
11/8/2020,Pro,tienda_A,4134
8/10/2020,Pro,tienda_A,26089
4/25/2020,Pro,tienda_A,3391
4/2/2021,Pro,tienda_A,15453
1/24/2021,Pro,tienda_A,4291
2/22/2021,Pro,tienda_A,29994
4/18/2021,Pro,tienda_A,4063
5/16/2021,Pro,tienda_A,3174
8/26/2020,Pro,tienda_A,27098
5/27/2020,Pro,tienda_A,24589
2/22/2020,Pro,tienda_A,3784
7/11/2020,Pro,tienda_A,4543
5/21/2021,Pro,tienda_A,22249
11/23/2020,Pro,tienda_A,27895
12/20/2020,Pro,tienda_A,4282
2/13/2020,Pro,tienda_A,23493
4/29/2021,Pro,tienda_A,22809
3/28/2021,Pro,tienda_A,3194
7/1/2020,Pro,tienda_A,27517
11/30/2020,Pro,tienda_A,29372
7/23/2020,Pro,tienda_A,24984
2/15/2021,Pro,tienda_A,22182
2/6/2021,Pro,tienda_A,4048
3/6/2021,Pro,tienda_A,4250
7/28/2020,Pro,tienda_A,26949
2/12/2021,Pro,tienda_A,17953
1/11/2021,Pro,tienda_A,29205
5/25/2021,Pro,tienda_A,28306
6/5/2021,Pro,tienda_A,3698
12/8/2020,Pro,tienda_A,27785
3/25/2021,Pro,tienda_A,26599
