MediaCode,name_medium,code_break,break_date,beginbreak_theoretical,type_break,format_break,class_break,type_sport,name_target,grp_ForecastPro_Estimate,grp_LIVE7,program_before,program_before_type1,program_before_type2,program_after,program_after_type1,program_after_type2,break_duration
TV,UNE,MA4,20230614,11:52:00,Off prime,Ecran normal,normal,_N/A,FEM 25-44,0.553247,0.410000,DEMAIN NOUS APPARTIENT,FICTION,SERIE,AIR DE FAMILLES,AUTRES,SEQUENCE,150
TV,UNE,SQ2,20221102,11:17:20,Off prime,Ecran billboard,bb,_N/A,PRA 25-54,0.838095,null,G 1 PLAN,AUTRES,SEQUENCE,G 1 PLAN,AUTRES,SEQUENCE,10
TV,UNE,DC3,20210217,22:36:42,Off prime,Ecran billboard,bb,_N/A,25-54 GS 1-6,2.242500,null,Itinéraire d'un enfant placé,DIVERTISSEMENT,DOCUMENTAIRE,Itinéraire d'un enfant placé,DIVERTISSEMENT,DOCUMENTAIRE,10
TV,UNE,SO10,20210117,26:06:11,Off prime,Ecran normal,normal,_N/A,FEM 15+,0.095597,0.120000,Une brique dans le ventre,DIVERTISSEMENT,MAGAZINE,BOUCLE,AUTRES,BOUCLE,240
TV,UNE,M1B,20240130,12:56:20,Off prime,Ecran normal,normal,_N/A,18-64,2.160584,1.550000,METEO,INFORMATION,METEO,LE 13H00,INFORMATION,JOURNAL TELEVISE,60
TV,UNE,MIA,20211218,13:56:30,Off prime,Ecran normal,inner,_N/A,FEM 25-54,2.401707,1.730000,LES AMBASSADEURS,DIVERTISSEMENT,MAGAZINE,LES AMBASSADEURS,DIVERTISSEMENT,MAGAZINE,150
TV,UNE,SOA,20240310,21:09:43,Prime,Ecran normal,inner,_N/A,HOM 18-54,1.456221,0.370000,Vigil,FICTION,SERIE,Vigil,FICTION,SERIE,180
TV,UNE,NW1,20230814,20:01:15,Prime,Ecran normal,normal,_N/A,55+,17.705110,13.450000,WALLONIE EN FAMILLE,AUTRES,SEQUENCE,L'AGENDA CINE,DIVERTISSEMENT,MAGAZINE,240
TV,UNE,MA4,20220905,11:52:00,Off prime,Ecran normal,normal,_N/A,PRA 18-54,0.600000,1.020000,DEMAIN NOUS APPARTIENT,FICTION,SERIE,AIR DE FAMILLES,AUTRES,SEQUENCE,150
TV,UNE,SOD,20240803,22:13:45,Prime,Ecran normal,inner,_N/A,FEM 18-54 GS 1-4,1.258560,null,SERIE COPROD,FICTION,SERIE,SERIE COPROD,FICTION,SERIE,180
TV,UNE,MI6,20220815,13:37:10,Off prime,Ecran normal,normal,_N/A,15-44,0.932515,0.740000,METEO,INFORMATION,METEO,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,210
TV,UNE,MA4,20230614,11:52:00,Off prime,Ecran normal,normal,_N/A,PRA AVEC ENFANT,0.638961,1.390000,DEMAIN NOUS APPARTIENT,FICTION,SERIE,AIR DE FAMILLES,AUTRES,SEQUENCE,150
