date,income
7/1/2015,18390
7/2/2015,17245
7/3/2015,15000
7/4/2015,14276
7/5/2015,13627
7/6/2015,14626
7/7/2015,15653
7/8/2015,14140
7/9/2015,17249
7/10/2015,14495
7/11/2015,11838
7/12/2015,10896
7/13/2015,11558
7/14/2015,10566
7/15/2015,16569
7/16/2015,20109
7/17/2015,12700
7/18/2015,11846
7/19/2015,11885
7/20/2015,11777
7/21/2015,11998
7/22/2015,12669
7/23/2015,14879
7/24/2015,12358
7/25/2015,10348
7/26/2015,10046
7/27/2015,9995
7/28/2015,9190
7/29/2015,10114
7/30/2015,9104
7/31/2015,9471
8/1/2015,10241
8/2/2015,11371
8/3/2015,8710
8/4/2015,9283
8/5/2015,8793
8/6/2015,14233
8/7/2015,15776
8/8/2015,8243
8/9/2015,8736
8/10/2015,9450
8/11/2015,9598
8/12/2015,9306
8/13/2015,9928
8/14/2015,12240
8/15/2015,12413
8/16/2015,9942
8/17/2015,8923
8/18/2015,8895
8/19/2015,9347
8/20/2015,10283
8/21/2015,9410
8/22/2015,8409
8/23/2015,9603
8/24/2015,8434
8/25/2015,8013
8/26/2015,7802
8/27/2015,8442
8/28/2015,8428
8/29/2015,7251
8/30/2015,7917
8/31/2015,7342
9/1/2015,6950
9/2/2015,7331
9/3/2015,9136
9/4/2015,7642
9/5/2015,7876
9/6/2015,8407
9/7/2015,7256
9/8/2015,9747
9/9/2015,7761
9/10/2015,7639
9/11/2015,7402
9/12/2015,6777
9/13/2015,7855
9/14/2015,8700
9/15/2015,7777
9/16/2015,6960
9/17/2015,7848
9/18/2015,7559
9/19/2015,6309
9/20/2015,6715
9/21/2015,7021
9/22/2015,6892
9/23/2015,105764
9/24/2015,8555
9/25/2015,8852
9/26/2015,7568
9/27/2015,8301
9/28/2015,8485
9/29/2015,9199
9/30/2015,8481
10/1/2015,10447
10/2/2015,9259
10/3/2015,7826
10/4/2015,8058
10/5/2015,8277
10/6/2015,8617
10/7/2015,9051
10/8/2015,9323
10/9/2015,8165
10/10/2015,7095
10/11/2015,7862
10/12/2015,7554
10/13/2015,8476
10/14/2015,9074
10/15/2015,8713
10/16/2015,9908
10/17/2015,7900
10/18/2015,8097
10/19/2015,8311
10/20/2015,8358
10/21/2015,9302
10/22/2015,10638
10/23/2015,9432
10/24/2015,14408
10/25/2015,30806
10/26/2015,20321
10/27/2015,13925
10/28/2015,18433
10/29/2015,15919
10/30/2015,14447
10/31/2015,13294
11/1/2015,11309
11/2/2015,11188
11/3/2015,23002
11/4/2015,14015
11/5/2015,18478
11/6/2015,12243
11/7/2015,12959
11/8/2015,12234
11/9/2015,11473
11/10/2015,10872
11/11/2015,14194
11/12/2015,13407
11/13/2015,13190
11/14/2015,16017
11/15/2015,15548
11/16/2015,11172
11/17/2015,10935
11/18/2015,14621
11/19/2015,11421
11/20/2015,14348
11/21/2015,13352
11/22/2015,13941
11/23/2015,11637
11/24/2015,13844
11/25/2015,13130
11/26/2015,14092
11/27/2015,10565
11/28/2015,15292
11/29/2015,13574
11/30/2015,28525
12/1/2015,21280
12/2/2015,21607
12/3/2015,18046
12/4/2015,15306
12/5/2015,18927
12/6/2015,18246
12/7/2015,16264
12/8/2015,22109
12/9/2015,18320
12/10/2015,14222
12/11/2015,13158
12/12/2015,14949
12/13/2015,13833
12/14/2015,11821
12/15/2015,11102
12/16/2015,14787
12/17/2015,13478
12/18/2015,25767
12/19/2015,15959
12/20/2015,13016
12/21/2015,11346
12/22/2015,12185
12/23/2015,11653
12/24/2015,17545
12/25/2015,28653
12/26/2015,33568
12/27/2015,16174
12/28/2015,13037
12/29/2015,18278
12/30/2015,24462
12/31/2015,15875
1/1/2016,12880
1/2/2016,15529
1/3/2016,15545
1/4/2016,11629
1/5/2016,12847
1/6/2016,13137
1/7/2016,14826
1/8/2016,13664
1/9/2016,15534
1/10/2016,11983
1/11/2016,12849
1/12/2016,11979
1/13/2016,13160
1/14/2016,12768
1/15/2016,17395
1/16/2016,15207
1/17/2016,12802
1/18/2016,12493
1/19/2016,20935
1/20/2016,13659
1/21/2016,14421
1/22/2016,21253
1/23/2016,19922
1/24/2016,22205
1/25/2016,15050
1/26/2016,17320
1/27/2016,15165
1/28/2016,15614
1/29/2016,13976
1/30/2016,17718
1/31/2016,19796
2/1/2016,13919
2/2/2016,15374
2/3/2016,13136
2/4/2016,17842
2/5/2016,12976
2/6/2016,12956
2/7/2016,14659
2/8/2016,13382
2/9/2016,13678
2/10/2016,17296
2/11/2016,27318
2/12/2016,16671
2/13/2016,15032
2/14/2016,16555
2/15/2016,36324
2/16/2016,15869
2/17/2016,13511
2/18/2016,13797
2/19/2016,15310
2/20/2016,11727
2/21/2016,16729
2/22/2016,18154
2/23/2016,14139
2/24/2016,12221
2/25/2016,13538
2/26/2016,13615
2/27/2016,14099
2/28/2016,18733
2/29/2016,13758
3/1/2016,14052
3/2/2016,12780
3/3/2016,12126
3/4/2016,13322
3/5/2016,13963
3/6/2016,16279
3/7/2016,11711
3/8/2016,13955
3/9/2016,10728
3/10/2016,13910
3/11/2016,20296
3/12/2016,11176
3/13/2016,15009
3/14/2016,14002
3/15/2016,14893
3/16/2016,11614
3/17/2016,11455
3/18/2016,9923
3/19/2016,10367
3/20/2016,13485
3/21/2016,10289
3/22/2016,12985
3/23/2016,13076
3/24/2016,15943
3/25/2016,14341
3/26/2016,11302
3/27/2016,12966
3/28/2016,12621
3/29/2016,12387
3/30/2016,12836
3/31/2016,12385
4/1/2016,15806
4/2/2016,18951
4/3/2016,15535
4/4/2016,14229
4/5/2016,14324
4/6/2016,13842
4/7/2016,11663
4/8/2016,14409
4/9/2016,13412
4/10/2016,16900
4/11/2016,16476
4/12/2016,18619
4/13/2016,23570
4/14/2016,56649
4/15/2016,25772
4/16/2016,20309
4/17/2016,29048
4/18/2016,21942
4/19/2016,17286
4/20/2016,15766
4/21/2016,22093
4/22/2016,15062
4/23/2016,16918
4/24/2016,14389
4/25/2016,22704
4/26/2016,14785
